 time : 10000, value : 22
 time : 20000, value : 51
 time : 30000, value : 15
 time : 40000, value : 50
 time : 50000, value : 27
 time : 60000, value : 78
 time : 70000, value : 61
 time : 80000, value : 33
 time : 90000, value : 39
 time : 100000, value : 4
 time : 110000, value : 33
 time : 120000, value : 24
 time : 130000, value : 22
 time : 140000, value : 30
 time : 150000, value : 9
 time : 160000, value : 29
 time : 170000, value : 1
 time : 180000, value : 68
 time : 190000, value : 40
 time : 200000, value : 4
 time : 210000, value : 29
 time : 220000, value : 0
 time : 230000, value : 70
 time : 240000, value : 6
 time : 250000, value : 88
 time : 260000, value : 1
 time : 270000, value : 41
 time : 280000, value : 30
 time : 290000, value : 21
 time : 300000, value : 42
 time : 310000, value : 42
 time : 320000, value : 60
 time : 330000, value : 21
 time : 340000, value : 48
 time : 350000, value : 12
 time : 360000, value : 34
 time : 370000, value : 63
 time : 380000, value : 5
 time : 390000, value : 34
 time : 400000, value : 20
 time : 410000, value : 19
 time : 420000, value : 42
 time : 430000, value : 4
 time : 440000, value : 37
 time : 450000, value : 16
 time : 460000, value : 36
 time : 470000, value : 48
 time : 480000, value : 6
 time : 490000, value : 37
 time : 500000, value : 0
 time : 510000, value : 58
 time : 520000, value : 36
 time : 530000, value : 30
 time : 540000, value : 42
 time : 550000, value : 8
 time : 560000, value : 44
 time : 570000, value : 25
 time : 580000, value : 22
 time : 590000, value : 43
 time : 600000, value : 14
 time : 610000, value : 39
 time : 620000, value : 27
 time : 630000, value : 21
 time : 640000, value : 38
 time : 650000, value : 14
 time : 660000, value : 30
 time : 670000, value : 5
 time : 680000, value : 48
 time : 690000, value : 27
 time : 700000, value : 14
 time : 710000, value : 43
 time : 720000, value : 7
 time : 730000, value : 48
 time : 740000, value : 46
 time : 750000, value : 43
 time : 760000, value : 22
 time : 770000, value : 17
 time : 780000, value : 29
 time : 790000, value : 26
 time : 800000, value : 58
 time : 810000, value : 33
 time : 820000, value : 30
 time : 830000, value : 37
 time : 840000, value : 12
 time : 850000, value : 34
 time : 860000, value : 12
 time : 870000, value : 51
 time : 880000, value : 11
 time : 890000, value : 60
 time : 900000, value : 32
 time : 910000, value : 34
 time : 920000, value : 48
 time : 930000, value : 9
 time : 940000, value : 42
 time : 950000, value : 20
 time : 960000, value : 43
 time : 970000, value : 48
 time : 980000, value : 13
 time : 990000, value : 34
 time : 1000000, value : 23
 time : 1010000, value : 17
 time : 1020000, value : 20
 time : 1030000, value : 14
 time : 1040000, value : 28
 time : 1050000, value : 13
 time : 1060000, value : 38
 time : 1070000, value : 34
 time : 1080000, value : 17
 time : 1090000, value : 46
 time : 1100000, value : 10
 time : 1110000, value : 71
 time : 1120000, value : 47
 time : 1130000, value : 45
 time : 1140000, value : 35
 time : 1150000, value : 28
 time : 1160000, value : 26
 time : 1170000, value : 13
 time : 1180000, value : 43
 time : 1190000, value : 3
 time : 1200000, value : 32
 time : 1210000, value : 27
 time : 1220000, value : 20
 time : 1230000, value : 35
 time : 1240000, value : 9
 time : 1250000, value : 50
 time : 1260000, value : 23
 time : 1270000, value : 24
 time : 1280000, value : 36
 time : 1290000, value : 29
 time : 1300000, value : 68
 time : 1310000, value : 6
 time : 1320000, value : 33
 time : 1330000, value : 34
 time : 1340000, value : 22
 time : 1350000, value : 29
 time : 1360000, value : 30
 time : 1370000, value : 39
 time : 1380000, value : 5
 time : 1390000, value : 55
 time : 1400000, value : 1
 time : 1410000, value : 40
 time : 1420000, value : 7
 time : 1430000, value : 35
 time : 1440000, value : 20
 time : 1450000, value : 27
 time : 1460000, value : 41
 time : 1470000, value : 18
 time : 1480000, value : 27
 time : 1490000, value : 6
 time : 1500000, value : 39
 time : 1510000, value : 17
 time : 1520000, value : 13
 time : 1530000, value : 15
 time : 1540000, value : 16
 time : 1550000, value : 24
 time : 1560000, value : 9
 time : 1570000, value : 26
 time : 1580000, value : 15
 time : 1590000, value : 31
 time : 1600000, value : 44
 time : 1610000, value : 15
 time : 1620000, value : 24
 time : 1630000, value : 15
 time : 1640000, value : 16
 time : 1650000, value : 19
 time : 1660000, value : 9
 time : 1670000, value : 34
 time : 1680000, value : 2
 time : 1690000, value : 29
 time : 1700000, value : 21
 time : 1710000, value : 10
 time : 1720000, value : 28
 time : 1730000, value : 10
 time : 1740000, value : 42x
